City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Swift Current,50.28,-107.8,82.4,21,1,8.05,clear sky
174,Kuzovatovo,53.55,47.69,54.25,82,3,4.59,clear sky
175,Pangnirtung,66.15,-65.71,49.35,68,100,3.38,overcast clouds
176,Ixtapa,20.7,-105.2,89.6,66,20,9.17,few clouds
177,Whitley Bay,55.04,-1.45,54.0,93,75,2.24,moderate rain
178,Bistrica,47.13,24.5,70.0,84,41,1.7,scattered clouds
179,Huilong,31.81,121.66,80.01,93,0,4.34,clear sky
180,Puerto Leguizamo,-0.19,-74.78,75.51,78,56,2.95,broken clouds
181,Seoul,37.57,126.98,75.2,88,1,2.86,clear sky
182,Ahipara,-35.17,173.17,57.88,79,89,20.09,light rain
183,Cidreira,-30.18,-50.21,60.75,83,0,17.56,clear sky
184,Libreville,0.39,9.45,78.8,83,40,8.05,scattered clouds
185,Yulara,-25.24,130.99,50.0,37,0,5.82,clear sky
186,Loja,-3.99,-79.2,61.39,76,32,2.42,light rain
187,Kutum,14.2,24.67,69.24,83,99,18.1,moderate rain
188,Kavieng,-2.57,150.8,77.18,92,99,13.49,heavy intensity rain
189,Upernavik,72.79,-56.15,43.29,88,93,1.63,overcast clouds
190,Dikson,73.51,80.55,44.98,83,0,11.25,clear sky
191,Faya,18.39,42.45,69.8,77,44,4.59,scattered clouds
192,Beipiao,41.79,120.78,64.29,97,100,8.12,heavy intensity rain
193,Avarua,-21.21,-159.78,77.0,69,6,12.75,clear sky
194,Senanga,-16.12,23.27,60.6,38,2,6.31,clear sky
195,Ciuhoiu,47.23,22.12,68.0,93,68,1.12,broken clouds
196,Longyearbyen,78.22,15.64,41.0,65,4,6.93,clear sky
197,Wajima,37.4,136.9,79.07,78,7,4.09,clear sky
198,Chincha Alta,-13.41,-76.13,62.6,77,90,4.7,overcast clouds
199,Bhachau,23.28,70.35,76.5,94,100,14.76,heavy intensity rain
